name,manufacturer
탐스피드캡슐(탐스로신염산염),삼진제약(주)
해피그라정50밀리그램(실데나필시트르산염),삼진제약(주)
디코나졸캡슐50mg(플루코나졸),(주)동구바이오제약
알비스타연질캡슐(수출용),(주)동구바이오제약
메로캄캡슐(멜록시캄),풍림무약(주)
아나젠정(베포타스틴베실산염),아주약품(주)
프리스펜연질캡슐(이부프로펜),코스맥스파마(주)
리노포스틴정10밀리그램(베포타스틴베실산염),고려제약(주)
소론도정(프레드니솔론),(주)유한양행
아클레어정200밀리그램(아시클로버),에이치엘비제약(주)
게리동정(수출용),(주)넥스팜코리아
텔미스타플러스정80/12.5밀리그램,동광제약(주)
클래리미신정250mg(클래리트로마이신),구주제약(주)
히알루미니점안액0.18%(히알루론산나트륨)(1회용),한미약품(주)
뉴클로정(클로닉신리시네이트),한솔신약(주)
리피롤정10밀리그램(아토르바스타틴칼슘삼수화물),동광제약(주)
뉴로페인캡슐75밀리그램(프레가발린),유니메드제약(주)
"글리앙듀오정12.5/1000밀리그램(엠파글리플로진, 메트포르민염산염)",국제약품(주)
라이트슬림정120밀리그램(오르리스타트),하나제약(주)
아세티정(아세클로페낙),주식회사케이에스제약
브로라제장용정(브로멜라인),(주)킵스바이오파마
센리카캡슐50밀리그램(프레가발린),일성아이에스(주)
"국제세픽심수화물캡슐(수출명:비픽심캡슐100밀리그람,뉴세픽스캡슐100밀리그람,복시틴캡슐100밀리그람,제국픽심캡슐)",국제약품(주)
실리토닉연질캡슐(밀크시슬열매건조엑스),(주)알피바이오
유니딥정(레르카니디핀염산염),(주)유유제약
펜다운캡슐100밀리그램(가바펜틴),알보젠코리아(주)
콜리네이트연질캡슐400밀리그램(콜린알포세레이트),한미약품(주)
프라스칼-디정750밀리그람,아주약품(주)
휴텍스플루코나졸캡슐50밀리그람(플루코나졸),한국휴텍스제약(주)
알리세질정10mg(도네페질염산염수화물),영풍제약(주)
윈스틴연질캡슐,삼진제약(주)
엘리스정(엘카르니틴),(주)휴비스트제약
코티손로션2.5%(히드로코르티손),(주)휴비스트제약
동구세픽심수화물캡슐100밀리그램,(주)동구바이오제약
뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),고려제약(주)
듀로프렉스캡슐60밀리그램(둘록세틴염산염),고려제약(주)
레비로틴정1000밀리그램(레비티라세탐),고려제약(주)
레비로틴정500밀리그램(레비티라세탐),고려제약(주)
루케마츄정5밀리그램(몬테루카스트나트륨),고려제약(주)
